id,title,subject_id
1,Function and Graph,3
2,Sequences and Series,3
3,Vectors,3
4,Complex Numbers,3
5,Calculus,3
6,Statistics,3
7,Others,3
11,Algebra,1
12,Geometry and Measurement,1
13,Calculus,1
14,Numbers and Algebra,1
16,Statistics,1
17,Others,1
59,Arithmetic,2
60,Mensuration,2
61,Algebra,2
62,Number Sequence and Problem Solving,2
63,Coordinate Geometry,2
64,"Graphs, Kinematics and Variations",2
65,Geometry ,2
66,Transformations,2
67,Trigonometry,2
68,Set Language and Notation,2
69,Matrices,2
70,Vectors in Two Dimensions,2
71,Probability,2
72,Statistics,2
73,Others,2
114,Whole Numbers and decimals,4
115,Measurement,4
116,Geometry,4
117,Data Analysis,4
118,Fractions,4
119,Percentage and ratio,4
120,Heuristic-Based,4
121,Algebra,4
