indexid,question_id,formula,status,inorder_term,sorted_term,structure_term,constant_term,variable_term
1,19950100108,x\left ( x+5 \right )\geqslant -6,1,"[['\\$e$mfenced$+', 'e$mfenced$+$\\', 'mfenced$+$\\$\\', '+$\\$\\$#8805;', '\\$\\$#8805;$-'], ['\\$e$mfenced', 'e$mfenced$+', 'mfenced$+$\\', '+$\\$\\', '\\$\\$#8805;', '\\$#8805;$-'], ['\\$e', 'e$mfenced', 'mfenced$+', '+$\\', '\\$\\', '\\$#8805;', '#8805;$-']]","[['-$#8805;$\\$\\', '#8805;$\\$\\$\\', '\\$\\$\\$+', '\\$\\$+$e', '\\$+$e$mfenced'], ['-$#8805;$\\', '#8805;$\\$\\', '\\$\\$\\', '\\$\\$+', '\\$+$e', '+$e$mfenced'], ['-$#8805;', '#8805;$\\', '\\$\\', '\\$\\', '\\$+', '+$e', 'e$mfenced'], ['-', '#8805;', '\\', '\\', '\\', '+', 'e', 'mfenced']]","['mfenced$+', 'mfenced$\\']","['mfenced$cn', 'cn']","['var', 'mfenced$var']"
2,19950300108,4x(4-x)>=15,1,"[[], ['mfenced$-$#8805;'], ['mfenced$-', '-$#8805;']]","[[], ['-$#8805;$mfenced'], ['-$#8805;', '#8805;$mfenced'], ['-', '#8805;', 'mfenced']]",['mfenced$-'],"['cn', 'mfenced$cn']","['var', 'mfenced$var']"
3,19950300108,2x^2-xy=3,1,"[[], ['msup$-$='], ['msup$-', '-$=']]","[[], ['-$=$msup'], ['-$=', '=$msup'], ['-', '=', 'msup']]",[],"['cn', 'msup$cn']","['var', 'msup$var']"
4,19960100115,x^2-4cx+c,1,"[[], ['msup$-$+'], ['msup$-', '-$+']]","[[], ['-$+$msup'], ['-$+', '+$msup'], ['-', '+', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
5,19960100115,y = x^2+3x+4,1,"[['=$msup$+$+'], ['=$msup$+', 'msup$+$+'], ['=$msup', 'msup$+', '+$+']]","[['+$+$=$msup'], ['+$+$=', '+$=$msup'], ['+$+', '+$=', '=$msup'], ['+', '+', '=', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
6,19960300107,(2x-1)(x+4) > 18,1,"[['mfenced$-$mfenced$+', '-$mfenced$+$gt;'], ['mfenced$-$mfenced', '-$mfenced$+', 'mfenced$+$gt;'], ['mfenced$-', '-$mfenced', 'mfenced$+', '+$gt;']]","[['-$+$gt;$mfenced', '+$gt;$mfenced$mfenced'], ['-$+$gt;', '+$gt;$mfenced', 'gt;$mfenced$mfenced'], ['-$+', '+$gt;', 'gt;$mfenced', 'mfenced$mfenced'], ['-', '+', 'gt;', 'mfenced', 'mfenced']]","['mfenced$-', 'mfenced$+']","['mfenced$cn', 'cn']",['mfenced$var']
7,19960300107,y=x-k,1,"[[], [], ['=$-']]","[[], [], ['-$='], ['-', '=']]",[],[],['var']
8,19960300107,y=kx^2+7x,1,"[[], ['=$msup$+'], ['=$msup', 'msup$+']]","[[], ['+$=$msup'], ['+$=', '=$msup'], ['+', '=', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
9,19960400108,x=p^2+1,1,"[[], ['=$msup$+'], ['=$msup', 'msup$+']]","[[], ['+$=$msup'], ['+$=', '=$msup'], ['+', '=', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
10,19960400108,y=p-2,1,"[[], [], ['=$-']]","[[], [], ['-$='], ['-', '=']]",[],['cn'],['var']
11,19960400108,x-4y=6,1,"[[], [], ['-$=']]","[[], [], ['-$='], ['-', '=']]",[],['cn'],['var']
12,19970100109,x^2+4x-5 > 5x-3,1,"[['msup$+$-$gt;', '+$-$gt;$-'], ['msup$+$-', '+$-$gt;', '-$gt;$-'], ['msup$+', '+$-', '-$gt;', 'gt;$-']]","[['-$-$+$gt;', '-$+$gt;$msup'], ['-$-$+', '-$+$gt;', '+$gt;$msup'], ['-$-', '-$+', '+$gt;', 'gt;$msup'], ['-', '-', '+', 'gt;', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
13,19970100109,3x^2-9x+c > 2.25,1,"[['msup$-$+$gt;'], ['msup$-$+', '-$+$gt;'], ['msup$-', '-$+', '+$gt;']]","[['-$+$gt;$msup'], ['-$+$gt;', '+$gt;$msup'], ['-$+', '+$gt;', 'gt;$msup'], ['-', '+', 'gt;', 'msup']]",[],"['cn', 'msup$cn']","['var', 'msup$var']"
14,19970300101,2y^2-7y+x=0,1,"[['msup$-$+$='], ['msup$-$+', '-$+$='], ['msup$-', '-$+', '+$=']]","[['-$+$=$msup'], ['-$+$=', '+$=$msup'], ['-$+', '+$=', '=$msup'], ['-', '+', '=', 'msup']]",[],"['cn', 'msup$cn']","['var', 'msup$var']"
15,19970300104,3x^2-5x+4>3-x^2,1,"[['msup$-$+$gt;', '-$+$gt;$-', '+$gt;$-$msup'], ['msup$-$+', '-$+$gt;', '+$gt;$-', 'gt;$-$msup'], ['msup$-', '-$+', '+$gt;', 'gt;$-', '-$msup']]","[['-$-$+$gt;', '-$+$gt;$msup', '+$gt;$msup$msup'], ['-$-$+', '-$+$gt;', '+$gt;$msup', 'gt;$msup$msup'], ['-$-', '-$+', '+$gt;', 'gt;$msup', 'msup$msup'], ['-', '-', '+', 'gt;', 'msup', 'msup']]",[],"['cn', 'msup$cn']","['var', 'msup$var']"
16,19980100105,4x^2-(c+2)x+c=1,1,"[['msup$-$mfenced$+', '-$mfenced$+$+', 'mfenced$+$+$='], ['msup$-$mfenced', '-$mfenced$+', 'mfenced$+$+', '+$+$='], ['msup$-', '-$mfenced', 'mfenced$+', '+$+', '+$=']]","[['-$+$+$=', '+$+$=$mfenced', '+$=$mfenced$msup'], ['-$+$+', '+$+$=', '+$=$mfenced', '=$mfenced$msup'], ['-$+', '+$+', '+$=', '=$mfenced', 'mfenced$msup'], ['-', '+', '+', '=', 'mfenced', 'msup']]",['mfenced$+'],"['mfenced$cn', 'cn', 'msup$cn']","['mfenced$var', 'var', 'msup$var']"
17,19980100105,y=\frac{16}{x},1,"[[], ['=$\\$mfrac'], ['=$\\', '\\$mfrac']]","[[], ['\\$=$mfrac'], ['\\$=', '=$mfrac'], ['\\', '=', 'mfrac']]",[],['mfrac$mfenced$cn'],"['var', 'mfrac$mrow$var']"
18,19980300101,y^2+xy=6,1,"[[], ['msup$+$='], ['msup$+', '+$=']]","[[], ['+$=$msup'], ['+$=', '=$msup'], ['+', '=', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
19,19980300103,x(10-x)\geq 24,1,"[['mfenced$-$\\$#8805;'], ['mfenced$-$\\', '-$\\$#8805;'], ['mfenced$-', '-$\\', '\\$#8805;']]","[['-$#8805;$\\$mfenced'], ['-$#8805;$\\', '#8805;$\\$mfenced'], ['-$#8805;', '#8805;$\\', '\\$mfenced'], ['-', '#8805;', '\\', 'mfenced']]",['mfenced$-'],"['mfenced$cn', 'cn']","['var', 'mfenced$var']"
20,19980300103,y^2+4x=20,1,"[[], ['msup$+$='], ['msup$+', '+$=']]","[[], ['+$=$msup'], ['+$=', '=$msup'], ['+', '=', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
21,19990100103,2(x^2-2)>7x,1,"[['mfenced$msup$-$gt;'], ['mfenced$msup$-', 'msup$-$gt;'], ['mfenced$msup', 'msup$-', '-$gt;']]","[['-$gt;$mfenced$msup'], ['-$gt;$mfenced', 'gt;$mfenced$msup'], ['-$gt;', 'gt;$mfenced', 'mfenced$msup'], ['-', 'gt;', 'mfenced', 'msup']]","['mfenced$msup', 'mfenced$-']","['mfenced$cn', 'cn', 'mfenced$msup$cn']","['var', 'mfenced$msup$var']"
22,19990100109,y=x^2+(k-4)x+1,1,"[['=$msup$+$mfenced', 'msup$+$mfenced$-', '+$mfenced$-$+'], ['=$msup$+', 'msup$+$mfenced', '+$mfenced$-', 'mfenced$-$+'], ['=$msup', 'msup$+', '+$mfenced', 'mfenced$-', '-$+']]","[['-$+$+$=', '+$+$=$mfenced', '+$=$mfenced$msup'], ['-$+$+', '+$+$=', '+$=$mfenced', '=$mfenced$msup'], ['-$+', '+$+', '+$=', '=$mfenced', 'mfenced$msup'], ['-', '+', '+', '=', 'mfenced', 'msup']]",['mfenced$-'],"['cn', 'msup$cn', 'mfenced$cn']","['var', 'mfenced$var', 'msup$var']"
23,19990300102,3(x+1)^2<16x,1,"[['msup$mfenced$+$lt;'], ['msup$mfenced$+', 'mfenced$+$lt;'], ['msup$mfenced', 'mfenced$+', '+$lt;']]","[['+$lt;$mfenced$msup'], ['+$lt;$mfenced', 'lt;$mfenced$msup'], ['+$lt;', 'lt;$mfenced', 'mfenced$msup'], ['+', 'lt;', 'mfenced', 'msup']]","['msup$mfenced', 'msup$mfenced$+']","['msup$cn', 'cn', 'msup$mfenced$cn']","['var', 'msup$mfenced$var']"
24,19990300105,y=x+\frac{p^{2}}{x},1,"[['=$+$\\$mfrac', '+$\\$mfrac$mfenced', '\\$mfrac$mfenced$msup'], ['=$+$\\', '+$\\$mfrac', '\\$mfrac$mfenced', 'mfrac$mfenced$msup'], ['=$+', '+$\\', '\\$mfrac', 'mfrac$mfenced', 'mfenced$msup']]","[['\\$+$=$mfenced', '+$=$mfenced$mfrac', '=$mfenced$mfrac$msup'], ['\\$+$=', '+$=$mfenced', '=$mfenced$mfrac', 'mfenced$mfrac$msup'], ['\\$+', '+$=', '=$mfenced', 'mfenced$mfrac', 'mfrac$msup'], ['\\', '+', '=', 'mfenced', 'mfrac', 'msup']]","['mfrac$mfenced', 'mfrac$mfenced$msup']",['mfrac$mfenced$msup$mrow$cn'],"['var', 'mfrac$mrow$var', 'mfrac$mfenced$msup$var']"
25,20000100103,x^2+3x-4>5x-1,1,"[['msup$+$-$gt;', '+$-$gt;$-'], ['msup$+$-', '+$-$gt;', '-$gt;$-'], ['msup$+', '+$-', '-$gt;', 'gt;$-']]","[['-$-$+$gt;', '-$+$gt;$msup'], ['-$-$+', '-$+$gt;', '+$gt;$msup'], ['-$-', '-$+', '+$gt;', 'gt;$msup'], ['-', '-', '+', 'gt;', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
