id,question_id,tagdefinition_id
1,19950100101,51
2,19950100101,131
3,19950100102,27
4,19950100102,76
5,19950100102,90
6,19950100102,148
7,19950100103,119
8,19950100103,121
9,19950100103,139
10,19950100103,217
11,19950100104,7
12,19950100104,36
13,19950100104,72
14,19950100104,88
15,19950100104,90
16,19950100104,135
17,19950100104,224
18,19950100104,225
19,19950100104,227
20,19950100104,229
21,19950100105,55
22,19950100105,245
23,19950100105,247
24,19950100105,248
25,19950100105,249
26,19950100106,21
27,19950100106,234
28,19950100107,5
29,19950100107,56
30,19950100107,121
31,19950100107,131
32,19950100107,152
33,19950100108,27
34,19950100108,59
35,19950100108,100
36,19950100108,121
37,19950100108,127
38,19950100108,139
39,19950100108,209
40,19950100108,210
41,19950100108,212
42,19950100109,4
43,19950100109,7
44,19950100109,18
45,19950100109,20
46,19950100109,32
47,19950100109,86
48,19950100109,90
49,19950100109,99
50,19950100109,104
51,19950100109,117
52,19950100109,239
53,19950100110,32
54,19950100110,59
55,19950100110,90
56,19950100110,92
57,19950100110,131
58,19950100110,141
59,19950100111,5
60,19950100111,7
61,19950100111,18
62,19950100111,32
63,19950100111,50
64,19950100111,70
65,19950100111,73
66,19950100111,86
67,19950100111,99
68,19950100111,114
69,19950100111,126
70,19950100111,139
71,19950100111,140
72,19950100111,163
73,19950100111,197
74,19950100111,201
75,19950100112,7
76,19950100112,13
77,19950100112,26
78,19950100112,27
79,19950100112,32
80,19950100112,48
81,19950100112,90
82,19950100112,104
83,19950100112,110
84,19950100112,117
85,19950100112,145
86,19950100112,220
87,19950100112,277
88,19950100112,287
89,19950100112,288
90,19950100113,1
91,19950100113,25
92,19950100113,36
93,19950100113,58
94,19950100113,61
95,19950100113,90
96,19950100113,107
97,19950100113,112
98,19950100113,127
99,19950100113,142
100,19950100114,25
101,19950100114,27
102,19950100114,84
103,19950100114,88
104,19950100114,90
105,19950100114,139
106,19950100114,152
107,19950100114,229
108,19950100114,276
109,19950100115,4
110,19950100115,10
111,19950100115,246
112,19950100115,250
113,19950100116,4
114,19950100116,79
115,19950100116,88
116,19950100116,90
117,19950100116,92
118,19950100116,138
119,19950100116,139
120,19950100116,141
121,19950100117,4
122,19950100117,26
123,19950100117,32
124,19950100117,59
125,19950100117,82
126,19950100117,133
127,19950100117,135
128,19950100117,220
129,19950100117,224
130,19950100117,225
131,19950100117,226
132,19950100118,30
133,19950100118,121
134,19950100118,131
135,19950100118,139
136,19950100119,54
137,19950100119,100
138,19950100119,139
139,19950200101,38
140,19950200101,49
141,19950200101,105
142,19950200101,121
143,19950200101,123
144,19950200101,139
145,19950200101,184
146,19950200101,186
147,19950200101,206
148,19950200102,78
149,19950200102,112
150,19950200102,131
151,19950200102,139
152,19950200103,25
153,19950200103,40
154,19950200103,50
155,19950200103,53
156,19950200103,54
157,19950200103,84
158,19950200103,90
159,19950200103,127
160,19950200103,139
161,19950200103,225
162,19950200103,230
163,19950200104,26
164,19950200104,27
165,19950200104,90
166,19950200104,106
167,19950200104,126
168,19950200104,130
169,19950200104,149
170,19950200104,155
171,19950200104,158
172,19950200104,160
173,19950200105,4
174,19950200105,32
175,19950200105,100
176,19950200105,139
177,19950200105,245
178,19950200105,249
179,19950200105,253
180,19950200105,263
181,19950200105,264
182,19950200106,13
183,19950200106,27
184,19950200106,104
185,19950200106,110
186,19950200106,145
187,19950200106,277
188,19950200106,279
189,19950200106,282
190,19950200106,287
191,19950200106,288
192,19950200107,5
193,19950200107,27
194,19950200107,40
195,19950200107,54
196,19950200107,62
197,19950200107,63
198,19950200107,109
199,19950200107,127
200,19950200107,138
201,19950200107,139
202,19950200107,173
203,19950200107,175
204,19950200107,177
205,19950200107,178
206,19950200107,179
207,19950200108,7
208,19950200108,15
209,19950200108,26
210,19950200108,27
211,19950200108,53
212,19950200108,79
213,19950200108,90
214,19950200108,121
215,19950200108,135
216,19950200108,139
217,19950200108,149
218,19950200108,152
219,19950200108,220
220,19950200108,225
221,19950200109,1
222,19950200109,25
223,19950200109,32
224,19950200109,34
225,19950200109,36
226,19950200109,54
227,19950200109,57
228,19950200109,61
229,19950200109,84
230,19950200109,90
231,19950200109,107
232,19950200109,108
233,19950200109,112
234,19950200109,124
235,19950200109,127
236,19950200109,132
237,19950200109,134
238,19950200109,139
239,19950200109,142
240,19950200110,4
241,19950200110,36
242,19950200110,61
243,19950200110,90
244,19950200110,102
245,19950200110,107
246,19950200110,112
247,19950200110,124
248,19950200110,132
249,19950200111,4
250,19950200111,32
251,19950200111,34
252,19950200111,36
253,19950200111,90
254,19950200111,112
255,19950200111,124
256,19950200111,132
257,19950200111,134
258,19950200111,142
259,19950200111,144
260,19950200112,4
261,19950200112,25
262,19950200112,32
263,19950200112,34
264,19950200112,41
265,19950200112,57
266,19950200112,65
267,19950200112,77
268,19950200112,81
269,19950200112,90
270,19950200112,112
271,19950200112,121
272,19950200112,124
273,19950200112,132
274,19950200112,134
275,19950200112,139
276,19950200112,142
277,19950200112,147
278,19950200113,1
279,19950200113,4
280,19950200113,21
281,19950200113,84
282,19950200113,102
283,19950200113,124
284,19950200113,132
285,19950200114,1
286,19950200114,4
287,19950200114,21
288,19950200114,32
289,19950200114,57
290,19950200114,107
291,19950200114,124
292,19950200115,32
293,19950200115,34
294,19950200115,40
295,19950200115,65
296,19950200115,87
297,19950200115,90
298,19950200115,107
299,19950200115,112
300,19950200115,124
301,19950200115,126
302,19950200115,132
303,19950200115,139
304,19950200115,142
305,19950200115,144
306,19950200116,4
307,19950200116,26
308,19950200116,32
309,19950200116,34
310,19950200116,40
311,19950200116,65
312,19950200116,84
313,19950200116,88
314,19950200116,90
315,19950200116,139
316,19950200116,144
317,19950300101,72
318,19950300101,81
319,19950300101,84
320,19950300101,90
321,19950300101,224
322,19950300101,225
323,19950300101,226
324,19950300101,228
325,19950300102,55
326,19950300102,245
327,19950300102,248
328,19950300102,249
329,19950300103,21
330,19950300103,139
331,19950300104,119
332,19950300104,121
333,19950300104,139
334,19950300104,220
335,19950300105,27
336,19950300105,76
337,19950300105,90
338,19950300105,148
339,19950300105,151
340,19950300106,27
341,19950300106,53
342,19950300106,84
343,19950300106,90
344,19950300106,150
345,19950300106,273
346,19950300107,1
347,19950300107,35
348,19950300107,61
349,19950300107,70
350,19950300107,90
351,19950300107,112
352,19950300107,127
353,19950300107,132
354,19950300107,139
355,19950300108,27
356,19950300108,100
357,19950300108,139
358,19950300108,208
359,19950300108,210
360,19950300108,212
361,19950300109,4
362,19950300109,90
363,19950300109,92
364,19950300109,141
365,19950300110,32
366,19950300110,40
367,19950300110,54
368,19950300110,80
369,19950300110,139
370,19950300111,4
371,19950300111,7
372,19950300111,16
373,19950300111,18
374,19950300111,32
375,19950300111,48
376,19950300111,50
377,19950300111,70
378,19950300111,73
379,19950300111,86
380,19950300111,99
381,19950300111,113
382,19950300111,121
383,19950300111,126
384,19950300111,139
385,19950300111,140
386,19950300111,163
387,19950300111,197
388,19950300111,201
389,19950300112,7
390,19950300112,13
391,19950300112,25
392,19950300112,27
393,19950300112,32
394,19950300112,104
395,19950300112,110
396,19950300112,117
397,19950300112,138
398,19950300112,139
399,19950300112,145
400,19950300112,220
401,19950300112,274
402,19950300112,276
403,19950300112,287
404,19950300112,288
405,19950300113,5
406,19950300113,7
407,19950300113,19
408,19950300113,25
409,19950300113,56
410,19950300113,57
411,19950300113,85
412,19950300113,99
413,19950300113,121
414,19950300113,131
415,19950300113,144
416,19950300113,145
417,19950300113,151
418,19950300113,152
419,19950300114,4
420,19950300114,10
421,19950300114,245
422,19950300114,249
423,19950300115,4
424,19950300115,7
425,19950300115,26
426,19950300115,32
427,19950300115,36
428,19950300115,88
429,19950300115,97
430,19950300115,135
431,19950300115,225
432,19950300115,226
433,19950300115,227
434,19950300115,229
435,19950300116,26
436,19950300116,34
437,19950300116,50
438,19950300116,65
439,19950300116,90
440,19950300116,92
441,19950300116,106
442,19950300116,131
443,19950300116,138
444,19950300116,141
445,19950300117,25
446,19950300117,30
447,19950300117,32
448,19950300117,39
449,19950300117,40
450,19950300117,50
451,19950300117,54
452,19950300117,122
453,19950300117,127
454,19950300117,139
455,19950400101,38
456,19950400101,49
457,19950400101,105
458,19950400101,121
459,19950400101,122
460,19950400101,139
461,19950400101,184
462,19950400101,186
463,19950400101,206
464,19950400101,217
465,19950400102,8
466,19950400102,23
467,19950400102,52
468,19950400102,112
469,19950400102,131
470,19950400102,139
471,19950400103,2
472,19950400103,4
473,19950400103,10
474,19950400103,50
475,19950400103,245
476,19950400103,249
477,19950400103,263
478,19950400103,264
479,19950400104,25
480,19950400104,53
481,19950400104,54
482,19950400104,84
483,19950400104,121
484,19950400104,127
485,19950400104,131
486,19950400104,139
487,19950400104,146
488,19950400104,225
489,19950400105,26
490,19950400105,27
491,19950400105,53
492,19950400105,63
493,19950400105,90
494,19950400105,106
495,19950400105,126
496,19950400105,150
