id,title,type,topic_id,content
1,accelerate,K,,accelerat.*
2,acute,K,,acute
3,amplitude,K,,amplitude
4,angle,K,,angle.?
5,approximate,K,,approximat.*
6,arc,K,,arc
7,area,K,,area.?
8,arithmetic_progression,K,,arithmetic progression.?
9,arrange,K,,arrang.*
10,ascend,K,,ascend.*
11,bear,K,,bear.*
12,binomial,K,,binomial
13,bound,K,,bound.*
14,calculator,K,,calculator
15,cartesian,K,,cartesian
16,centre,K,,centre
17,chord,K,,chord.?
18,circle,K,,circle.?
19,circular,K,,circular
20,circumference,K,,circumference.?
21,coefficient,K,,coefficient
22,collinear,K,,collinear
23,common_ratio,K,,common ratio.?
24,congruent,K,,congruen.*
25,constant,K,,constant.?
26,coordinate,K,,coordinate.?
27,curve,K,,curve.?
28,decelerate,K,,decelerat.*
29,decrease,K,,decreas.*
30,define,K,,defin.*
31,descend,K,,descend.*
32,diagram,K,,diagram.?
33,differentiate,K,,differentiat.*
34,direction,K,,direction.?
35,displacement,K,,displacement.?
36,distance,K,,distance.?
37,distinct_point,K,,distinct point.?
38,divide,K,,divid.*
39,domain,K,,domain.?
40,draw,K,,draw.?
41,due,K,,due
44,e,K,,e\^.*
45,east,K,,east
46,element,K,,element.?
47,empty,K,,empty
48,enclose,K,,enclos.*
49,factor,K,,factor.*
50,form,K,,form.?
51,function,K,,function.?
52,geometric_progression,K,,geometric progression.?
53,gradient,K,,gradient.?
54,graph,K,,graph.?
55,identity,K,,identit.*
56,increase,K,,increase.?
57,instant,K,,instant.?
58,instantaneous,K,,instantaneous
59,intersect,K,,intersect.*
60,inverse,K,,inverse
61,leave,K,,leav.*
62,lg,K,,lg.*
63,ln,K,,ln.*
64,log,K,,log.*
65,magnitude,K,,magnitude.?
66,map,K,,map.?
67,matrice,K,,"matri.{0,3}"
68,matrix,K,,matrix
69,matrix_multiplication,K,,matrix multiplication.?
70,maximum,K,,maximum
71,measure,K,,measur.*
72,mid-point,K,,mid-?point.?
73,minimum,K,,minimum
74,modulus,K,,mod
75,move,K,,"mov,{0,3}"
76,normal,K,,normal
77,north,K,,north
78,number,K,,number.?
79,origin,K,,origin.?
80,pair,K,,pair.?
81,parallel,K,,parallel
82,parallelogram,K,,parallelogram.?
83,partial_fraction,K,,partial fraction.?
84,pass,K,,pass.*
85,percentage,K,,percentage
86,perimeter,K,,perimeter.?
87,period,K,,period.?
88,perpendicular,K,,perpendicular
89,perpendicular_bisector,K,,perpendicular bisector.?
90,point,K,,point.?
91,polynomial,K,,polynomial
92,position,K,,position.?
93,power,K,,power
94,product,K,,product
95,prove,K,,"prov.{0,3}"
96,quadratic,K,,quadratic
97,quadrilateral,K,,quadrilateral
98,radian,K,,radian
99,radius,K,,radius
100,range_of_value,K,,range of value.?
101,rate_of_change,K,,rate of change.?
102,reach,K,,reach.*
103,real,K,,real
104,region,K,,region.?
105,remainder,K,,remainder.?
106,respect,K,,respect
107,rest,K,,"rest.{0,3}"
108,retard,K,,retard.*
109,root,K,,root.?
110,rotate,K,,rotat.*
